user_id,navigation_nps,started_survey,edited_survey,published_nps
449,2022-02-24 16:17:34.965,,2022-11-11 20:58:48.922,
450,2022-02-02 18:32:05.533,,2022-02-02 18:32:17.530,
451,2022-05-20 16:27:00.786,,,
452,2022-03-04 14:43:25.911,,,
453,2022-01-03 09:32:45.763,,,
454,2022-03-21 14:17:04.192,,2022-03-21 14:17:10.466,
455,2022-02-22 10:49:33.914,2022-07-22 12:10:01.588,2022-07-22 12:10:01.735,
456,2022-04-27 20:15:07.534,,,
457,2022-01-21 20:13:00.614,,,
458,2022-12-16 21:06:17.962,,,
459,2022-02-10 17:20:18.054,,2022-07-19 12:42:02.923,
460,2022-03-09 01:14:05.408,,,
461,2022-04-25 19:34:05.030,,,
462,2022-03-24 14:08:45.304,,,
463,2022-01-20 22:49:41.293,,2022-01-20 23:16:26.049,
464,2022-03-04 14:53:55.722,,,
465,2022-05-06 13:57:32.524,,,
466,2022-03-28 17:02:09.345,2022-03-28 17:02:11.189,2022-03-28 17:02:11.205,2022-03-28 17:05:24.320
467,2022-12-13 17:10:50.826,,,
468,2022-03-08 16:12:44.707,,,
469,2022-03-21 12:44:43.507,,,
470,2022-01-19 08:43:52.663,,,
471,2022-01-19 10:25:17.522,2022-01-19 10:25:21.071,2022-01-19 10:25:21.162,2022-01-19 10:29:01.862
472,2022-01-03 17:57:05.639,2022-01-03 17:57:10.135,2022-01-03 17:57:10.259,
473,2022-12-14 10:40:56.543,,,
474,2022-01-20 16:47:07.013,2022-08-02 20:26:00.178,2022-08-02 20:26:00.209,
475,2022-01-13 23:07:46.984,,,
476,2022-01-13 22:17:34.497,,2022-01-13 22:17:46.459,2022-01-13 22:25:38.343
477,2022-04-28 17:55:14.792,,2022-04-28 17:56:10.044,
478,2022-03-22 18:07:50.332,2022-03-25 17:21:45.884,2022-03-25 17:21:45.895,
479,2022-02-15 14:46:41.939,,,
480,2022-04-15 21:11:39.392,,2022-04-15 21:14:19.348,2022-04-15 21:15:58.024
481,2022-03-16 14:48:13.774,,2022-03-30 13:15:18.778,
482,2022-02-21 22:44:31.187,,,
483,2022-05-23 18:05:46.050,,,
484,2022-06-02 01:37:56.714,,,
485,2022-01-17 14:00:23.504,,,
486,2022-12-13 09:30:56.702,,,
487,2022-01-04 17:57:31.614,,2022-01-04 17:57:43.037,
488,2022-02-14 10:51:20.483,2022-02-14 10:51:43.707,2022-02-14 10:51:43.722,
489,2022-04-12 12:41:08.959,,2022-04-12 12:41:23.408,
490,2022-02-16 21:10:48.092,,,
491,2022-01-19 13:35:53.835,,,
492,2022-01-25 05:02:19.232,,2022-03-17 06:33:32.646,
493,2022-12-12 17:53:59.384,,,
494,2022-03-23 02:09:36.461,,,
495,2022-03-10 16:57:43.618,,,
496,2022-04-22 08:29:24.176,,2022-07-04 13:10:48.896,
497,2022-02-14 20:09:12.500,,,
498,2022-05-19 08:16:05.905,,,
499,2022-01-14 07:44:56.370,,2022-09-27 15:14:31.117,
500,2022-12-16 15:17:12.539,,,
501,2022-01-20 11:02:08.039,,,
502,2022-01-21 20:29:35.708,,,
503,2022-03-25 12:41:49.210,,,
504,2022-03-17 15:07:45.703,2022-03-17 15:07:54.504,2022-03-17 15:07:54.516,
505,2022-05-03 01:36:48.189,,,
506,2022-05-10 17:32:16.676,,2022-08-17 14:15:39.451,
507,2022-01-03 23:40:38.614,,2022-01-04 18:13:40.406,
508,2022-12-12 21:35:16.057,,,
509,2022-01-11 16:23:32.114,,2022-03-15 17:42:22.316,
510,2022-04-07 14:48:28.166,,,
511,2022-02-08 00:08:16.150,,,
